,name,,,epoch,lr,train_loss,valid_loss,test_loss,valid_MAE,test_MAE,,
21,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_3_lr_0.001_seed_1\log_file.csv,GNN_4_16_GAT_layer_3_lr_0.001_seed_1,GAT_layer_3_lr_0.001_seed_1,21,0.000973043,73.7561093,62.64734268,61.85239029,63.14485931,62.34992981,67.16603597,4.285416269
19,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_3_lr_0.001_seed_2\log_file.csv,GNN_4_16_GAT_layer_3_lr_0.001_seed_2,GAT_layer_3_lr_0.001_seed_2,19,0.000977897,78.9399369,67.11483002,68.09207916,67.61275482,68.58989716,,
11,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_3_lr_0.001_seed_3\log_file.csv,GNN_4_16_GAT_layer_3_lr_0.001_seed_3,GAT_layer_3_lr_0.001_seed_3,11,0.000992555,80.42282019,69.3745575,70.05982971,69.87301636,70.55828094,,
1,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_5_lr_0.001_seed_1\log_file.csv,GNN_4_16_GAT_layer_5_lr_0.001_seed_1,GAT_layer_5_lr_0.001_seed_1,1,0.000999938,99.93462285,105.5703812,105.5489502,106.069313,106.0479813,97.53640493,9.112082984
1,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_5_lr_0.001_seed_2\log_file.csv,GNN_4_16_GAT_layer_5_lr_0.001_seed_2,GAT_layer_5_lr_0.001_seed_2,1,0.000999938,103.7856748,86.97571564,87.42501068,87.47376251,87.92385864,,
0,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_5_lr_0.001_seed_3\log_file.csv,GNN_4_16_GAT_layer_5_lr_0.001_seed_3,GAT_layer_5_lr_0.001_seed_3,0,0.001,122.6858816,96.50067902,98.13845825,96.9994812,98.63737488,,
17,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_8_lr_0.001_seed_1\log_file.csv,GNN_4_16_GAT_layer_8_lr_0.001_seed_1,GAT_layer_8_lr_0.001_seed_1,17,0.000982279,214.4758418,153.4640961,153.5404663,153.9632568,154.0399475,118.7492243,30.56418351
0,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_8_lr_0.001_seed_2\log_file.csv,GNN_4_16_GAT_layer_8_lr_0.001_seed_2,GAT_layer_8_lr_0.001_seed_2,0,0.001,128.7358285,97.8033905,100.3001938,98.30228424,100.7989731,,
0,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_GAT_layer_8_lr_0.001_seed_3\log_file.csv,GNN_4_16_GAT_layer_8_lr_0.001_seed_3,GAT_layer_8_lr_0.001_seed_3,0,0.001,129.2088597,98.93567657,100.9099274,99.43437195,101.4087524,,
,,,,,,,,,,,,
